CustomerID,Recency,Frequency,Monetary,Cluster,Segment
10000,17,12,2948.74,2,Regular
10001,28,12,2404.57,1,At-Risk
10002,33,13,3680.09,2,Regular
10003,12,18,4937.78,0,High-Value
10004,25,16,4590.01,0,High-Value
10005,22,17,5421.12,0,High-Value
10006,38,8,2135.64,1,At-Risk
10007,120,14,3805.66,2,Regular
10008,20,14,3977.63,2,Regular
10009,41,13,3320.19,2,Regular
10010,36,11,2885.09,1,At-Risk
10011,33,11,3073.63,2,Regular
10012,78,14,4305.3,2,Regular
10013,24,12,2807.39,2,Regular
10014,18,12,3901.35,2,Regular
10015,78,13,3576.74,2,Regular
10016,90,5,1546.99,1,At-Risk
10017,20,9,1946.32,1,At-Risk
10018,17,17,3611.39,2,Regular
10019,110,11,3268.32,3,Occasional
10020,17,13,3524.15,2,Regular
10021,34,17,5259.72,0,High-Value
10022,5,12,2483.31,1,At-Risk
10023,20,11,2183.35,1,At-Risk
10024,61,15,3367.78,2,Regular
10025,40,16,4125.93,0,High-Value
10026,23,16,3719.94,2,Regular
10027,106,13,4710.2,2,Regular
10028,43,14,4795.25,0,High-Value
10029,47,21,5831.06,0,High-Value
10030,44,11,2773.08,1,At-Risk
10031,87,13,2987.76,2,Regular
10032,77,14,3723.72,2,Regular
10033,19,8,2611.0,1,At-Risk
10034,27,18,6118.33,0,High-Value
10035,33,7,1634.73,1,At-Risk
10036,25,14,4367.34,2,Regular
10037,43,19,5761.63,0,High-Value
10038,61,12,4004.86,2,Regular
10039,14,10,2763.69,1,At-Risk
10040,48,10,2918.9300000000003,1,At-Risk
10041,48,16,3262.59,2,Regular
10042,5,12,3052.02,2,Regular
10043,176,12,2920.66,3,Occasional
10044,79,13,3365.64,2,Regular
10045,137,14,5059.75,0,High-Value
10046,19,17,6010.92,0,High-Value
10047,70,11,2705.22,1,At-Risk
10048,31,9,2589.82,1,At-Risk
10049,33,16,4942.71,0,High-Value
10050,1,15,6281.76,0,High-Value
10051,68,10,3166.31,1,At-Risk
10052,41,15,4029.22,2,Regular
10053,36,21,6112.11,0,High-Value
10054,1,7,2002.75,1,At-Risk
10055,31,15,3650.31,2,Regular
10056,127,14,5070.68,0,High-Value
10057,20,24,7369.81,0,High-Value
10058,38,7,1902.1200000000001,1,At-Risk
10059,24,10,3348.42,2,Regular
10060,50,13,3767.7400000000002,2,Regular
10061,127,15,4484.8,0,High-Value
10062,11,9,3024.08,1,At-Risk
10063,12,12,3568.84,2,Regular
10064,45,11,2664.86,1,At-Risk
10065,19,6,1850.43,1,At-Risk
10066,10,15,4330.39,2,Regular
10067,46,9,3483.13,1,At-Risk
10068,43,7,1543.45,1,At-Risk
10069,91,15,3493.64,2,Regular
10070,15,7,1877.59,1,At-Risk
10071,2,15,4273.68,2,Regular
10072,51,11,3040.79,2,Regular
